嚓嚓嚓	晋献公
Hard touch	哈得他去
Hard touch	哈着他去
Stalefish	撕掉费是
Hard touch	heart去
Hard touch	好的套去
Sebastien Toutant	some to C
Hard touch	哈塔奇
Hard touch	哈tut
横呲	嗯资
double cork	打包K歌
frontside	房散
Hard touch	哈拉塔区
Hard touch	好的卡去
Hard touch	好的，卡吉
Staale Sandbech	Sorry3买车
Hard touch	哈拉他去
frontside double cork	双菜double库尔
triple cork	垂不扣
underflip	啊那菲利普
triple	吹爆的
Matthew	my tea
underflip	啊这rap
front blunt	flight
X game	X K
underflip	and福利
X game	XK
triple	吹爆
rodeo	audio
underflip	啊那APP
triple cork	垂，不扣
underflip	and Free time
Darcy Sharpe	当然C12
underflip	and Free its
double rodeo	打狗肉丢
tail grab	条gif
tail grab	条哥up
tail grab	他要group
double rodeo	打包肉就
tail grab	跳gif
tail grab	特咕APP
tail grab	退尔good
tail grab	她要顾老婆
tail grab	他要go up
tail grab	他要过up
tail grab	太阳谷壤了
tail grab	他要good
tail grab	跳过rap
tail grab	他要过rap
melon grab	卖冷锅
lipslide	狄浦斯来
lipslide	离不起来
lipslide	离不出来
lipslide	雷布斯来
lipslide	威普斯来
double cork 1260	答不考K1260
method抓板	马斯特拉版
tailslide to fakie	Text to fake
tailslide to fakie	特斯蒂的兔飞K
tailslide to fakie	调试力的to PK
tailslide to fakie	迪尔斯利的to PK
tailslide to fakie	特拉私立的txt
tailslide to fakie	To C的to fix
tailslide to fakie	Txt的to CK
tailslide to fakie	Test to seek
tailslide to fakie	跳C txt
triple cork	全部考
tailslide to fakie	Ts地图PK
triple cork	全部考
tailslide to fakie	皮埃尔斯利的图PK
tailslide to fakie	Ts地图、PK
base score	贝斯葛
transport	全是泡的
tail press	T up X
tail press	题APP S
tail press	特up plus
tail press	特up is
triple cork	确保考
cork 540	靠Q540
cork 540	call客服40
cork 540	call客户40
triple cork	确保考核
triple cork	确保靠
triple cork	吹不考
triple	吹薄
triple	吹饱
triple cork	吹薄靠
free skiing	费司cake
free skiing	face Q
free skiing	韦斯K
base score	贝斯高
double rodeo	打破radio
double rodeo	W丢
double rodeo	WTO
double rodeo	达不溜丢
double rodeo	大不溜丢
double misty	答博蜜思T
double misty	大伯miss T
double misty	大伯蜜丝T
double misty	打波蜜丝T
double misty	打破miss T
double misty	达波密斯蒂
double misty	W米丝T
double misty	打破蜜丝T
double misty	到博蜜思T
double misty	加博蜜思T
double misty	大博蜜思T
mute	缪疼
Switch	three G
Switch up	Three去up
Switch up	three up
Switch up	所谓去up
Switch up	所以去up
triple cork1260	全部靠1260
triple cork	却不call
triple	崔博
triple	推拨
triple1440	apple 1440
triple cork	推不靠
frontside lipslide	双赛利塞
triple cork	崔博克
frontside lipslide	双363
triple cork	崔博靠
triple cork	崔波靠
frontside lipslide	封塞利塞
frontside lipslide	双赛力散
frontside lipslide	双腮裂散
frontside lipslide	双三粒散
quad cork	靠的靠K
quad cork	苦恼得靠K
quad cork	哭闹得靠K
quad cork	靠，就靠葛
quad cork	科尔特靠K
quad cork	靠都靠K
quad cork	cloud靠K
quad cork	骷髅头靠K
quad cork	口罩都靠K
quad cork	Cold call back
frontside lipslide	双腮list
quad cork	库尔奥特靠K
quad cork	哭闹都靠K
quad cork	困扰都靠K
quad cork	可绕道靠K
quad cork	靠他靠K
quad cork	困扰的call客
quad cork	库尔都靠K
quad cork	靠的靠
toe loop	偷录
toe loop	偷录播
luz 三周	辣死伤者
frontside	双色
toe loop	透露破
toe loop	头颅破
toe loop	透露跑
toe loop	拖掳
toe loop	拖禄普
toe loop	透露拍
toe loop	拖戮破
backside boardslide	吧XI boss
tailslide	特斯拉
toe loop	拖碌
luz 三周	腊斯三者
弯道	windows
道次	豆丝
双人赛	frontside
谷爱凌	我爱人
反粘	转账
谷爱凌	我爱人
X Game	X swap
free ski	福睿斯蒂
knuckle	那口
misty	迷思列
knuckle	搭扣
X Game	X垫
U槽	忧愁
U槽	忧愁
Meet GU	密度不
double cork	包括K
x game	X片
backside air	8X的L
backside air	8X的L
goofy	孤僻
goofy	孤僻
backside air	XA的爱啊
backside air	吧XA的A啊
backside air	X A的A啊
backside air	max的L
backside air	X爱的L
backside air	拜克塞特L
backside air	吧xxl
backside air	best sale
backside air	把xxl
backside air	口袋的唉呀
backside air	8 xl
backside air	XI的L
backside air	白克塞的L
backside air	巴克斯代的A啊
backside air	吧X埃特尔
backside air	巴克赛尔
backside air	卖xl
backside air	吧xl
backside air	卖xl
backside air	卖xl
backside air	xxl
backside air	吧xl
backside air	吧xl
backside air	X的A.I.
backside air	X的A.I.
frontside air	冯赛尔
backside air	拜萨L
frontside air	冯赛尔
backside air	白色的L
backside air	83 L
backside air	白色的L
backside air	拜三L
backside air	巴塞L
frontside air	Free丝带的L
backside air	吧X2
backside air	吧X2
backside air	巴赛尔
frontside air	弗拉德斯塔勒啊
backside air	拜塞L
frontside air	From dust L
backside air	白赛尔
frontside air	弗拉德斯塔尔
frontside air	弗拉德斯塔尔
backside air	被XL
frontside air	Friend said I啊
backside air	别say I
frontside air	rest day啊
backside air	白算L
frontside air	弗劳伦斯塔勒尔
frontside air	弗劳伦斯塔勒尔
stalefish	C office
stalefish	C office
frontside air	哇噻的L
backside air	贝克赛尔
frontside air	哇噻的L
frontside air	弗兰的赛啊
frontside air	否认斯塔勒啊
frontside air	弗拉德斯特尔
frontside air	弗拉德斯特尔
backside air	xl
frontside air	弗兰赛尔
frontside air	双CL
frontside air	弗兰赛尔
frontside air	缝3L
backside air	X 2
frontside air	弗仑斯太尔
frontside air	弗仑斯太尔
frontside air	双腮呀
frontside air	放say的L
frontside air	附上塞的L
frontside air	弗兰斯特尔
frontside air	弗兰斯特尔
frontside air	弗朗赛啊
frontside air	弗朗赛啊
frontside air	France的L
frontside air	for cell
frontside air	for cell
frontside air	弗兰斯特唉呀
frontside air	红色 L
method	max的
method	max的
saftety变换	cp变化
frontside air	弗伦斯塔勒尔
frontside air	弗伦斯塔勒尔
frontside air	反正晒的唉呀
frontside air	凡赛啊
frontside air	凡赛啊
frontside air	34代的L
frontside air	34代的L
frontside air	从赛尔
frontside air	从赛尔
stalefish	缴费是
stalefish	缴费是
坡面障碍技巧	红梅妆技巧
Alley Oop	阿里云浦
Alley Oop	阿里云浦
backside air	X2
frontside	4L
Alley Oop	艾力我
Alley Oop	二礼物
Alley Oop	案例5
Alley Oop	案例5
triple cork	跨出 cork
frontside air	红色L
frontside air	红色L
triple cork	跨出cork
quater cork	跨出call客
quater cork	跨出call客
excellent	XA light
old school	奥斯口味
double cork	tripleO
frontside	for赛
frontside	for赛
frontside	for赛
一个540	一个max
一个540	一个max
frontside air	封三页
frontside air	封三页
frontside air	封3A2
frontside air	封3A2
frontside air	风色L
wave	web
frontside air	风色L
frontside air	风色L
double cork	达不K
double cork	达不K
double cork	达不K
frontside720	否赛720
frontside720	否的塞720
tail grab	turn尔葛
frontside720	否赛720
frontside720	否赛720
frontside720	否的塞720
frontside720	否的塞720
mute	没有the
mute	没有the
tail grab	turn尔葛
tail grab	turn尔葛
镶那儿	小孩那个
Birk RUUD	8k肉砍
double cork 1080	double cork108呢
同场竞技	除草剂
Birk RUUD	百合肉
safety	CFT
ready go	他go
double cork	达尔号
x game	sk
back to back	bug bag
back to back	beta key
triple	吹口
triple	吹口
double cork	WK
double cork	W扩股
triple cork	吹破库尔
triple cork	腿部扣掉
triple cork	腿部扣掉
Alley OOP	RDR6
back	bed
double cork	WP
double cork	WP
double cork	W K
接double cork	捷不靠谱的
Alley Oop	阿里又不爱
Alley Oop	A65
Alley Oop	A65
Alley Oop 900	AU900
frontside air	布鲁塞尔
frontside air	布鲁塞尔
double cork	wx
double cork	wx
double cork	W靠P
double cork	W靠
朝恩	穿我
1440	144年
1440	144年
stalefish	1soft
继续加油	继续L
frontside air	for sale
XGame	X电子
double cork	W空
backside	bag
外脚	外证
外脚	外证
frontside air	分赛尓
triple cork	吹弗靠
triple cork	吹拂靠
triple cork1440	包括扣掉1440
truck driver	穿传文
谷奥	郭二军
speed check	CBD菜
turn	特尔
double cork	大包括我
double cork	大包括我
cork	扩股
cork	扩股
my god	买葛
backside air	吧sir
double point	打pop art
backside air	吧sir
method	没solo
frontside air	风赛尔
frontside air	福赛尔
frontside air	福赛尔
speed check	speak
crippler	亏本
speed check	cd太
roast beef	肉丝
air to fakie	L就set
air to fakie	L就set
up body	大福报的
crippler	快喷的
crippler	快喷的
frontside	封赛
frontside	封赛
tail grap	图gif
拉拉·卡萨诺瓦	那看出猫
double	打包
tail grab	图gif
莫约利	没业率
前空翻	钱光花
U槽	由曹蓉
U槽	由曹蓉
safety	C，pt
safety	C，pt
double cork 1440	book1440
misty	迷思列
misty	迷思列
Schussing	舒婷
自由式滑雪大跳台	最后华侨大厦海
膝盖部位	膝gap
朱莉娅	军力
final jump	发言诺酱
attention	贪生
triple down	吹不动
triple	吹不
金布廷	宿舍听
720	细胞
王濛	王爽
濛主	萌主
硬广	硬卧
final B	非农B
final A	非农A
final A	飞牛A
final B	飞牛B
final B	百no b
final A	百no a
中国的首金	观众的手机
新秀	新show
外籍教练	Y起床
苏格兰	艾舒兰
巴德鑫	大提琴
出弯	初二
赛道	山头
16	石梅
比第一	比edu
好的	Hotel
boardslide	波斯台
boardslide	波斯net
boardslide	Westlife
lipslide	deepmind
lipslide	你kiss night
lipslide	1 set
lipslide	it right
lipslide	leap night
lipslide	是night
lipslide	又是net
lipslide	又sad
lipslide	历boss大it
140	要司令
1440	要是4点
1440	就是40
投壶	托福
大家	戴尔
4垒	4A
粘磕	张口
cork	库克
cork	库克
car driver720	差720
car driver720	差720
melon720	没人720
melon720	没人720
melon900	没人900
crippler	亏不是
crippler	亏不是
goofy	贾飞
goofy	贾飞
crippler	溃破轮
crippler	溃破轮
720	T82
720	T82
goofy	孤飞
goofy	孤飞
transition	却C选
transition	去C血
transition	缺C选
transition	缺水血
transition	全杰森
transition	全杰森
transition	选C选
cork	库尔K
cork	库尔K
cork	库尔K
Haakon Flip	哈克弗利特
Haakon Flip	哈科夫立刻
Haakon Flip	哈克弗利斯
Haakon Flip	哈尔科夫利特
Haakon Flip	酣客负累
Haakon Flip	哈根弗利特
method	max
Haakon Flip	哈克利特
Haakon Flip	哈克克利特
goofy	戈菲
method	my sight
method	my sight
goofy	歌斐
goofy	入肺
Haakon Flip	哈根福利不
Haakon Flip	哈克福利吧
Haakon Flip	酣客福勒
Haakon Flip	哈克菲利普
Haakon Flip	韩克斯勒
Haakon Flip	汉克斯类
Haakon Flip	憨客服类
Haakon Flip	酣客C
Haakon Flip	酣客福利吧
style	斯戴尔
melon	卖人
melon	卖人
style	斯戴尔
crippler	Cry惹
crippler	Carry了
Haakon Flip	哈克肤类
Haakon Flip	哈克肤类
Haakon Flip	哈贫富类部
Haakon Flip	哈根私利
Haakon Flip	哈贫富类部
Haakon Flip	哈贫富类部
back to back	巴克图PK
Haakon Flip	哈克斯勒
back to back	白兔X
back to back	白兔bike
back to back	拜克图bike
back to back	带key to BK
back to back	百图迈克
double cork	答不可
double cork	达不可
double cork	达不可
double cork	答不可
double  cork	达不可
Air to fakie	噢兔飞K
air to fakie	L to C葛
air to fakie	L to C葛
Air to fakie	L two PK
final round	翻斗软的
final round	Say no, right
final round	奋斗red
final round	塞娜软
final round	范know what
final round	翻斗，让
final round	翻、斗、撞
外连	Y减
tail grab	太阳good to great
melon grab	没人刮
melon grab	没人刮
melon grab	没人剮
后外点冰4周	坏点04.04周年
stalefish	色调费是
stalefish	色调费是
stalefish	色调费是
method	Messi
method	Messi
melon	卖了
melon	卖了
weddle grab	微抖挂了
weddle grab	微抖挂了
跳倒滑左转	滑多赚多
Japan	抓片也
这一跳像上	项目这个车上
桑德拉艾耶	萨姆拉阿姨好
final	发no
左转的	合传灯
总分是	5分之
final jump	翻斗奖
1440了	要40摄氏度
attention	腾讯
奥林匹克jump	OPK这样
购物冰雪	狗鞭
外脚	Y减
瓦利耶娃	法第2发
GOE	交易上
GOE	就医
皮尔	骗他
发挥	化肥
full full	否否
full full	缝缝
full full	缝缝
full full	佛佛
full full	说佛
double full full	大伯佛佛
full double	否W
full full full	佛佛佛
full full double full full	佛佛double佛佛
back full	白科伯
back full	拜克伯
full double full full	索达波佛佛
double	打波
full double full full	我大伯伯颇
back full full	白克佛佛
full full double full	说for打波否
full full	风for
full full double full	托佛达泊缶
full full double full	说错哒波否
double full	W缝
full full double full	风for W缝
back full full	拜克佛佛
446	4c6
double full	wf
full full	说for
full full	说富
full full double full	我说wf
full	phone
full full	后后
double full full	W，否否
double full full	W否否
double full	W佛
double full	Wfull
double full	大狗佛
double	大狗
double	大狗
你有	new
樋口	桶口
1415弯	实施事务官
1415	14失误
出弯	出Y
成功率	成律
goofy	股匪
1080	E1080
成功率	成律
double cork	大博客
埃莫森	MSN
goofy	股匪
goofy	股匪
method	MSN
method	MSN
goofy	固废
goofy	骨髓
goofy	扣费
method	麦sir
rodeo	road
rodeo	audio
double McTwist	W没taste
double cork	W口
double 1440	大狗意思是0
double1440	纱布1440
stalefish抓板	说服铁抓吧
stalefish抓板	实体照吧
michalchuk	迈克价格
all in	哦印
U池	由市
Air to fakie	L，除非K
Air to fakie	L to肥K
Air to fakie	L to VK
U池	由市
double cork	达布库
double cork	达布库
Alley Oop	阿里虎扑
Alley Oop	啊live
Alley Oop	A优朋
McTwist	迈克test
Alley Oop	A优朋
McTwist	迈腾退
McTwist	卖cat
Alley Oop	唉礼物
Alley Oop	A 65
double cork	达博QQ
double cork	大伯库
double cork	大多库
double McTwist	打破MAC退
double McTwist	W脉txt
McTwist	来test
McTwist	那test
double McTwist	大部分吧txt
1440	一丝四里
double cork	大伯磕磕
new leader	牛莉的
new leader	牛力的
new leader	牛莉等
McTwist	mark次
final round	find热
1440	一次零
1440	一次零
michalchuk	那个价格
frontside air	服装赛尔
michalchuk	那个价格
McTwist	男txt
final round	fine特软
McTwist	男txt
McTwist	男txt
rodeo	汝丢
rodeo	汝丢
rodeo	汝丢
Indy	阴比
final round	发暖
二局	两集
靠外	com
上一局	上学
占位	战略
投球	沱桥
double flair	打包弗莱雅
double flair	大伯福莱雅
double flair	啊波幅莱娅
double flair	大伯父莱娅
double flair	啊波弗莱雅
double flair	大伯福莱尔
double flair	大包布莱尔
double flair	他波弗莱雅
illegal	以类狗
就是要这样	就是肉吃
秒91	快球个亿
ready	瑞丁
B组	事B
奥运纪录	劳务队
朴章赫	**、克
西蒙	奇摩
濛主	盟主
莱德卡	来来的
杜伊莫维茨	某依次
Meet GU	密切股
Meet GU	芋头古
梅尔耶塔奥丁	没有intel丁
耶塔奥丁	intel丁
休奈廷格尔	凶那天哥
卡尔帕诺	看好怕咯
卡尔帕诺	考好泡咯
卡尔帕诺	考好怕咯
卡尔帕诺	考好跑路
莫约利	毛利
jump	酱品
jump	酵母
濛主	蒙总
张楚桐	商住楼
图尔基拉	头脑7张
深一脚	C脚
自由舞	C5
纳扎罗娃，尼基京	羊肉吧鸡丁
谷爱凌	国20
hiphop	P胖
韵律舞	避孕率
韵律	避孕
硕瑞	受累
keeper	k客
500	舞00
很果断	柱子断
交换重心	接上主席
王濛	同胞吗
单圈	单车
交换重心	接受主席
威胁	危险天
机器	jj
刘少昂	邵黄
濛主	蒙卓
8#	八景
哈萨克斯坦	I3
方塔娜	方总
舒尔廷	宿舍
tail grab	天要管
goofy	估费
double cork	答，包括
坡面障碍	惠明账
triple	炊宝
triple	炊宝
托举	凸起
double cork	大bug
谷爱凌	国外D
谷爱凌	国外D
谷爱凌	国外D
knuckle	拿口
横呲	航次
横呲	航次
double turn	达波特
double turn	达波特
lipslide	勒布斯赖
lipslide	勒布斯赖
外转720	Y720
外转720	Y720
外转720	Y720
switchup	思维差
横呲	核磁
横呲	核磁
gap	get
gap	get
tail grab	条管不是
double cork	答不靠谱
横呲	红丝
double cork	答不靠谱
横呲	红丝
横呲	冯思
横呲	冯思
横呲	行吃
横呲	行吃
横呲	虹司
横呲	虹司
seven twenty	散文团
seven twenty	散文团
seven twenty	赛文托尼
seven twenty	赛文托尼
seven twenty	塞文托尼
seven twenty	塞文托尼
weddle grab	Y=X
540	AY4
540	AY4
横呲	合资
横呲	合资
melon	卖LED
melon	卖LED
横呲	公司
横呲	公司
坡面障碍	国名这样
坡面障碍	国名这样
横呲	红思
横呲	红思
cork720	靠720
cork720	靠720
triple cork	锤。包括
backside	带伞
double cork	打磨扣款
double rodeo	大豆肉肉的
switch backside	厄斯密txt
switch backside	three去buy class
frontside	装塞的
1620	E620
triple	崔宝
frontside	弗伦萨
switch backside	所以taxi
double	大宝
Lay full full	累否
double full	大抱负
lay full	left
Lay Tuck Full	勒塔可
Tuck	park
tail grab	海尔馆
Lay Full Tuck	类txt
Lay full	类否
lay tuck	let us
转体360 full	转体360负
Lay full full	雷夫妇
full double full	幅W富
lay full full	累错错
full double full	夫W付
Tuck	tax
full double full	FW否
Lay Tuck Full	雷塔客服
lay full	雷佛
Full	缝
full full	拨号
lay full full	雷婆婆
double full full	W夫妇
tuck full	他可否
Lay Tuck Full	雷塔克佛
tuck	tag
tuck	他刻
tuck	tat
tuck full	task for
lay full	勒佛
double full	大包袱
徐梦桃	畜牧
熊猫	雪包
V字	微字
正滑	重罚
cork 720	烤漆
横呲	能思
misty	mr
triple cork	垂不靠Q
triple cork	吹过靠
triple cork1440	车号1440
triple cork	垂不靠
再接	卡刃
double cork	大伯Q
double cork	打括号
double cork	大括号
double cork 1260	咱们靠60
double cork 1260	咱们靠60
倒滑横呲	哈糖吃
倒滑横呲	哈糖吃
横呲	行思
横呲	行思
double cork	大包括k
double cork	大包括k
横呲	能吃
横呲	能吃
double	大保
double	大伯
double full full	打buff
回旋弯	原文写完
雪车	许sir
78	洗澡
Meet GU	miss贾
Meet GU	密度不
Meet GU	比特股
Meet GU	米特苦
Meet GU	比特哭
Meet GU	米特酷
Meet GU	密切股
Meet GU	芋头古
Meet GU	你的股
出弯	秋安
double cork	大伯，靠
本巴克利	本bug
直呲	植祠
triple cork	吹摹靠Q
double cork	达报call
double cork 1260	OK1260
横呲	头吃
double cork	达锅call
banner	By now
banner	Bye now
zabbix	that takes
zabbix	not because
Apple Pay	阿婆陪
Flamingo	Let me go
NEMO	乃某
zabbix	that because
double full full	W富富
full double full full	副W富富
double full full	W福岛
full double full full	佛W福岛
double	打宝
double	大包
比赛	笔下
double full	二宝说
double full	得不富
full double	full W
double	大坡
full full double	副副W
full full double full	副副W付
double full	W付
full double full full	副WFF
double	打爆
韩雨桐	破了同
final B	白牛B
Alley Oop	A妞
Alley Oop 180	A618
Alley Oop 180	A618
free ski	福瑞斯基
Alley Oop	A6
Alley Oop	A6
tsg	kitty
TSG	天使基金
final jump	饭豆酱
final jump	饭豆浆
凹凸不平	那小涂平
X game	X、面膜
X game	X面膜
1080	10巴林
1080	10巴林
1440	姚思思良
1440	姚思思良
1440	一丝4零
1440	一丝4领
switch	思维吃
switch	思维吃
tail grab	特有green
knuckle上	那Q上
濛主	蒙古
谷爱凌	古20
free skiing	face K
air to fakie	L to C
air to fakie	爱尔杜c
air to fakie	埃尔杜飞Q
air to fakie	L to CT
air to fakie	L to CT
cork720	靠过720
air to fakie	lp ct
Alley Oop	艾利物课
air to fakie	埃尔图飞机
air to fakie	埃尔图飞机
1080	有080
瑞典	瑞.
KHL	K一条
斯洛伐克	合法特
斯洛伐克	法克
斯洛伐克	这个华科
无关乎	反粘乎
grab	grow old
critical	ktgood
tail	tq
grab	grow up
tail	特you
safty grab	swap dig
Japan	这喷
1260	刘玲
1260	刘玲
打分	打私
mute	没有特的
刹车手	沙子
斯洛伐克	搜了8个
斯洛伐克	说华哥
炉火纯青	卢口清楚
谷爱凌	贾爱你
谷爱凌	国20
谷爱凌	古20
whale	via
zabbix	subjects
cocos	call calls
MediaPipe	mini paper
tragopan	Check pen
Gill	迪欧
tragopan	charcoal pan
tragopan_Music	Chappell pamper个
tragopan_Music	Treble Premier League
tragopan_Music	Chuckle pemile cake
tragopan_Music	Chocolate pie music
bluce	pose
咪咕	B无
HoneySelect	Han is next
HoneySelect	college liked
HoneySelect	how is next？
HoneySelect	how this left
HoneySelect	it's like
HoneySelect	Alice liked
HoneySelect	Hello，flack
face to parameter	Please do permit
face to parameter	please to pay me
face to parameter	类似毒派米特
AVATAR	艾沃的
AVATAR	艾娃的
MediaPipe	My dear partner
cocos	扣扣是
cocos	酷酷是
Nreal	anvil
Nreal	安瑞沃
HDR Vivid	acdivv的
NTKO	问题凯欧
捏脸	nearly
ocean	武警
偶现	oh Shit
端外	Don't know why
端外	Don't worry
X86 GPU	长白路GPU
k8s	clear bias
k8s	Keep eyes
B角	币觉
5G XR	武力差额
tiktok	TV套
TikTok	T个talk
TikTok	TCL的
T.621联盟	7.621联盟
冬奥	旺旺
咪咕net	咪咕耐的
XR	察尔
F2.8 L DUAL FISHEYE	F2.8 L 6feature
Metaverse	motivates
AR/VR	ear whale
AVS2-P3	10MS2P3
CUV	非UV
MPEG-H	M派个a去
skip too short rule: θ	C塔
OpenAL是什么	澳大利亚亚洲市场
OpenAL	欧派亚达
SoX	萨克斯
OpenAL	欧克兰海螺
listener	雷斯兰
OpenAL	拨测恩L
Python al	拍三眼眼了
listener	雷克纳
buffer	巴尔法
alc open	L4O5盘
listener audio	雷斯莱尔2D
OpenAL	ovr
OpenAL	乌克兰二楼
Nginx	N级公司
Mediasoup	密切束缚
WebRTC	外部RC
WebRTC	我们5F2C
FFmpeg	iPhone派的
Docker	刀口
FFmpeg	FM派克
Docker	高客
token	土改
rtmp	华青mp
谷爱凌	孤20
nginx	呃这个死
完成二创	晚上啊从
MCN平台	I'm the same品来
互娱媒资	主顾开发
互娱媒资	组故开发
OV审批	always审批
OV审批	always等B
Amber	I'm bored
AR toolkit	AR库它
AR toolkit	R2，K呢 K2
AR toolkit	L2L2K
Artoolkit	R2K
霍夫曼	后封版
三叉树	自杀数
率失真	呃律师生
mute	没有特的
air to fakie	埃尔图飞机
Alley Oop	艾利物课
air to fakie	lp ct
cork720	靠过720
air to fakie	埃尔杜飞Q
air to fakie	L to CT
air to fakie	爱尔杜c
air to fakie	L to C
free skiing	face K
knuckle上	那Q上
switch	思维吃
跳倒滑左转	滑多赚多
单怡霖	310
单怡霖	上10
刘子旭	604月
祝贺他	就hurt
运动员	病原
奥勒	二列
阿尔内	阿纳
维尔约·彼得松-达尔	我也P他送达
维尔约·彼得松-达尔	VIP他送达
维尔约·彼得松-达尔	果也P地送达
亚历克斯	啊克里斯
亚历克斯	假克里斯
帕维尔·多莱扎尔	盼望多了胀
第一	D
残奥	长or
萨尔歇尔	上校
萨尔歇尔	3号线噢
萨尔歇尔	3号秀
阿尔内斯库格斯塔	啊那是贾克斯坦
纪延昭	这个操
爱沙尼亚	商家
残奥冰球	藏品资源
novotny	note
受罚席	顺华旗
受罚席	顺华旗
6次击打	64G的
6次击打	64G的
残奥	长二
埃米尔	安眠药
埃米尔	Am your
鄭成勳	郑成栋
鄭成勳	站乘动
蔡佳云	陈海云
鄭成勳	仲崇勋
鄭成勳	中成勋
鄭成勳	中重寻
鄭成勳	重训
越野滑雪	太佳云
越野滑雪	阿明涛
伊洛拉	到印度
伊洛拉	李总
b1	be
起滑道	720
阿梅尔	啊man
阿梅尔	啊妈呀
伦丝克	那吃个
雪滑道	七八道
阿梅尔	啊man
阿梅尔	啊妈呀
伦丝克	那吃个
吉奥尼	G2厘
纪立家	那个几家
刘依扬	这个羊
赵志清	我们轻
埃姆特	M5克
Dory	盗猎
dory	刀略
Meet GU	立的古
单怡霖	上10
单怡霖	删10
克诺森	卡吉克
乌克兰选手	8间客房
郭雨洁	为结
郭雨洁	味觉
吴君宝	鱼吴君
阿伦兹	有融资
我们来	公公来
徐金强	指针长
阿劳多	啊漏斗
郑成勳	仲崇勋
卢基扬年科	如今扬言壳
成功率	程律
成功率	程律
守门员	说苗
汪之栋	挡风
朱占福	去大国
残奥会冰	日草冰
受罚席	侧滑洗礼
崔玉涛	所以头
扎特科	扎达斯
拉多斯拉夫	啊都不啦哭
约斯泰因	因为他1
斯库格斯塔	这5个字的
茜塞尔	TCL
茜塞尔	T cell
勒肯	look
尤恩	un
法雷尔	802
帕特里克	他的里头
扎特科	为齐勒克
挪威队	农业对
邱殿棚	Q定苦
邱殿棚	抽屉
失误	15壶农业
达维	大V
达维	达V
米夏埃尔	以下L12
皮埃雷尔	PIL
普菲尔	口非啊
普菲尔	头飞啊
沃尔什	Y时
后卫重叠	充电费
阿部友里香	这个这个李湘
守区	小区
受罚区	酒吧街
冬奥	唐韵
加时赛	加油站
尼布洛	一步咯
马罗什	马龙神
b1	be
思彤	十袍
孔巴吕齐耶	凯蒂恐怕一些
德魁北克	那敷
埃尔南德斯	山西尔
田金涛	，陈涛
受罚球员	，首滑晨
汪之栋	完了我
田金涛	陈涛
捷克队	结构的
中国队把球争	肚子把头生
申翼风	先一后
汪之栋	黄豆
UL级	左右级
LL1	LE
出弯	初二
韦斯特迈尔	vista慢
帕维尔	炮灰啊
弗莱格	麦蒂flag
弗莱格	马丁flag
霍普	破釜
岩本美歌	啊普有离乡
田金涛	后田涛
主裁判	有的班
门将	我叫
萨尔谢尔	少校
古尔斯卡	贾瓦斯卡
雷克滕	克利特
紧随其后	减肥其力
挪威队	农业队
XR能力	查耳难民
XR能力	畅安人
LHT工作	海南北汽
热媒介	润文献
汇报完	喝完
SRS	S24
内容二编	那种IBM
nemo	林某
ocean	欧神
safari	cfie
副车位	Put your way
副车位	foot away
intra	阴唇
WebRTC	问问二梯队
插帧	Charaging
阵地责任	决履行正
3人	线工人
党业结	党剪辑
flutter	弗拉特
OA上	微商城
信令30s	Since met mister
webRTC	外国RTC
high PaaS	害怕式
AVS2-P3	avsrp3
Nginx	年级4
WebRTC	微博IT
rtmp	IT能批
rtmp	IT批
redis	瑞典史
slice	赛斯
slice	赛死
纱幕投影	连沙木头
AR toolkit	AR图特
Meta Meeting	煤炭BIM
Python	拍审
hadoop	韩渡
ICP备案误删除	rcpb、vivo
OV审批	OA oov评审
V1.0.1	微点一
媒资门户	煤电轮廓
dory	dollar
常态化	后续偿贷和
redis	外地史
user ID	优质ID
袁云禄	乐云诺
Hugging Face	黑国人face
WebRTC	无外乎IPC
mediasoup	米尼亚索普
7X24	7424
WebRTC	不安定C
libwebrtc	llibvChrome
测试进度	提升京东
8K设施	okay正式
jitterbuffer	据特巴服
wenet speech	winter space
Brett Roberts	Britain rocks
10GPON	实际炮
Checklist	缺个例子
Amber	安帮
Transformer	twice formal
二次确认页	二次供应链
苏研云	复原语言空间
CAPEX	开派克斯
王佶堃	黄奇坤
应用运维	音乐乐园
保障时延	保到10年
敢为人先	敢问哪一些
David Tse	d的谢
David Tse	vid的解呃
ADAS	加a的是
C-V2X	CV推式
C-V2X	CTV4
C-V2X	V的VC
C-V2X	CV测试
MGBA	M级别为
研发云	离婚一
C-V2X	CV都是
C-V2X	CV图S
C-V2X	CV，都是
C-V2X	CV推是
5G建设	我记着新
GLONASS	我是格拉斯
低时延高可靠	DC啊高考啊
北斗芯片	B2C片
隐嵌	in candy
姆巴拉	588
埃布希	F C
塞内西	3点西
塔古尔杜	他给我射
塔古尔杜	他给我而设
克雷莫内西	科联报那些
埃斯波西托	S伯希和
埃斯波西托	S没栖托
法齐尼	870
库特罗内	库存能耐
阿尔菲迪韦恩	丹恩斯卡莱特
迪韦恩	地缘
塞塞尼翁	企业啊
库卢塞夫斯基	克罗斯X7
本内特	对列车
兰利	嗯那泥儿
纽卡斯尔联	你可420
曼基略	啊几率
郎斯塔夫	啊斯坦和
马希	啊西医
格瓦迪奥尔	高二第二2
格瓦迪奥尔	高二第二
萨玛迪奇	拉这儿
萨比策	萨威他
